grid_price_cents_per_kwh,grid_cost_usd_per_mwh,gas_cost_usd_per_mwh,solar_cost_usd_per_mwh,hybrid_cost_usd_per_mwh
5.0,50.0,83.2050963659661,41.290197221412605,73.056156879234
5.252525252525253,52.525252525252526,83.2050963659661,41.290197221412605,73.056156879234
5.505050505050505,55.05050505050505,83.2050963659661,41.290197221412605,73.056156879234
5.757575757575758,57.57575757575758,83.2050963659661,41.290197221412605,73.056156879234
6.01010101010101,60.101010101010104,83.2050963659661,41.290197221412605,73.056156879234
6.262626262626263,62.62626262626263,83.2050963659661,41.290197221412605,73.056156879234
6.515151515151516,65.15151515151516,83.2050963659661,41.290197221412605,73.056156879234
6.767676767676768,67.67676767676768,83.2050963659661,41.290197221412605,73.056156879234
7.020202020202021,70.20202020202021,83.2050963659661,41.290197221412605,73.056156879234
7.272727272727273,72.72727272727273,83.2050963659661,41.290197221412605,73.056156879234
7.525252525252526,75.25252525252526,83.2050963659661,41.290197221412605,73.056156879234
7.777777777777779,77.77777777777779,83.2050963659661,41.290197221412605,73.056156879234
8.030303030303031,80.30303030303031,83.2050963659661,41.290197221412605,73.056156879234
8.282828282828284,82.82828282828284,83.2050963659661,41.290197221412605,73.056156879234
8.535353535353536,85.35353535353536,83.2050963659661,41.290197221412605,73.056156879234
8.787878787878789,87.87878787878789,83.2050963659661,41.290197221412605,73.056156879234
9.040404040404042,90.40404040404042,83.2050963659661,41.290197221412605,73.056156879234
9.292929292929294,92.92929292929294,83.2050963659661,41.290197221412605,73.056156879234
9.545454545454547,95.45454545454547,83.2050963659661,41.290197221412605,73.056156879234
9.7979797979798,97.979797979798,83.2050963659661,41.290197221412605,73.056156879234
10.050505050505052,100.50505050505052,83.2050963659661,41.290197221412605,73.056156879234
10.303030303030305,103.03030303030305,83.2050963659661,41.290197221412605,73.056156879234
10.555555555555557,105.55555555555557,83.2050963659661,41.290197221412605,73.056156879234
10.80808080808081,108.0808080808081,83.2050963659661,41.290197221412605,73.056156879234
11.06060606060606,110.60606060606061,83.2050963659661,41.290197221412605,73.056156879234
11.313131313131313,113.13131313131314,83.2050963659661,41.290197221412605,73.056156879234
11.565656565656566,115.65656565656566,83.2050963659661,41.290197221412605,73.056156879234
11.818181818181818,118.18181818181819,83.2050963659661,41.290197221412605,73.056156879234
12.070707070707071,120.70707070707071,83.2050963659661,41.290197221412605,73.056156879234
12.323232323232324,123.23232323232324,83.2050963659661,41.290197221412605,73.056156879234
12.575757575757576,125.75757575757576,83.2050963659661,41.290197221412605,73.056156879234
12.828282828282829,128.2828282828283,83.2050963659661,41.290197221412605,73.056156879234
13.080808080808081,130.8080808080808,83.2050963659661,41.290197221412605,73.056156879234
13.333333333333334,133.33333333333334,83.2050963659661,41.290197221412605,73.056156879234
13.585858585858587,135.85858585858585,83.2050963659661,41.290197221412605,73.056156879234
13.83838383838384,138.3838383838384,83.2050963659661,41.290197221412605,73.056156879234
14.090909090909092,140.9090909090909,83.2050963659661,41.290197221412605,73.056156879234
14.343434343434344,143.43434343434345,83.2050963659661,41.290197221412605,73.056156879234
14.595959595959597,145.95959595959596,83.2050963659661,41.290197221412605,73.056156879234
14.84848484848485,148.4848484848485,83.2050963659661,41.290197221412605,73.056156879234
15.101010101010102,151.010101010101,83.2050963659661,41.290197221412605,73.056156879234
15.353535353535355,153.53535353535355,83.2050963659661,41.290197221412605,73.056156879234
15.606060606060607,156.06060606060606,83.2050963659661,41.290197221412605,73.056156879234
15.85858585858586,158.5858585858586,83.2050963659661,41.290197221412605,73.056156879234
16.111111111111114,161.11111111111114,83.2050963659661,41.290197221412605,73.056156879234
16.363636363636367,163.63636363636368,83.2050963659661,41.290197221412605,73.056156879234
16.61616161616162,166.1616161616162,83.2050963659661,41.290197221412605,73.056156879234
16.868686868686872,168.6868686868687,83.2050963659661,41.290197221412605,73.056156879234
17.12121212121212,171.21212121212122,83.2050963659661,41.290197221412605,73.056156879234
17.373737373737374,173.73737373737373,83.2050963659661,41.290197221412605,73.056156879234
17.626262626262626,176.26262626262627,83.2050963659661,41.290197221412605,73.056156879234
17.87878787878788,178.78787878787878,83.2050963659661,41.290197221412605,73.056156879234
18.13131313131313,181.31313131313132,83.2050963659661,41.290197221412605,73.056156879234
18.383838383838384,183.83838383838383,83.2050963659661,41.290197221412605,73.056156879234
18.636363636363637,186.36363636363637,83.2050963659661,41.290197221412605,73.056156879234
18.88888888888889,188.88888888888889,83.2050963659661,41.290197221412605,73.056156879234
19.141414141414142,191.41414141414143,83.2050963659661,41.290197221412605,73.056156879234
19.393939393939394,193.93939393939394,83.2050963659661,41.290197221412605,73.056156879234
19.646464646464647,196.46464646464648,83.2050963659661,41.290197221412605,73.056156879234
19.8989898989899,198.989898989899,83.2050963659661,41.290197221412605,73.056156879234
20.151515151515152,201.51515151515153,83.2050963659661,41.290197221412605,73.056156879234
20.404040404040405,204.04040404040404,83.2050963659661,41.290197221412605,73.056156879234
20.656565656565657,206.56565656565658,83.2050963659661,41.290197221412605,73.056156879234
20.90909090909091,209.0909090909091,83.2050963659661,41.290197221412605,73.056156879234
21.161616161616163,211.61616161616163,83.2050963659661,41.290197221412605,73.056156879234
21.414141414141415,214.14141414141415,83.2050963659661,41.290197221412605,73.056156879234
21.666666666666668,216.66666666666669,83.2050963659661,41.290197221412605,73.056156879234
21.91919191919192,219.1919191919192,83.2050963659661,41.290197221412605,73.056156879234
22.171717171717173,221.71717171717174,83.2050963659661,41.290197221412605,73.056156879234
22.424242424242426,224.24242424242425,83.2050963659661,41.290197221412605,73.056156879234
22.67676767676768,226.7676767676768,83.2050963659661,41.290197221412605,73.056156879234
22.92929292929293,229.2929292929293,83.2050963659661,41.290197221412605,73.056156879234
23.181818181818183,231.81818181818184,83.2050963659661,41.290197221412605,73.056156879234
23.434343434343436,234.34343434343435,83.2050963659661,41.290197221412605,73.056156879234
23.68686868686869,236.8686868686869,83.2050963659661,41.290197221412605,73.056156879234
23.93939393939394,239.3939393939394,83.2050963659661,41.290197221412605,73.056156879234
24.191919191919194,241.91919191919195,83.2050963659661,41.290197221412605,73.056156879234
24.444444444444446,244.44444444444446,83.2050963659661,41.290197221412605,73.056156879234
