State,best_architecture,lowest_cost_usd_per_mwh,grid_cost_usd_per_mwh,gas_cost_usd_per_mwh,solar_cost_usd_per_mwh,hybrid_cost_usd_per_mwh
Texas,Gas,22.722936288820495,97.89999999999999,22.722936288820495,45.13114580014867,51.1678619956174
Virginia,Gas,35.07587746529108,106.19999999999999,35.07587746529108,50.08101340403594,59.078959028537994
Arizona,Gas,41.69111372372888,127.4,41.69111372372888,48.21464023369919,60.60522962971106
California,Solar,41.290197221412605,270.4,83.2050963659661,41.290197221412605,73.056156879234
Nevada,Solar,38.61968695336104,114.7,77.87240591273563,38.61968695336104,69.32077453711088
Washington,Solar,54.28361592745154,101.30000000000001,87.59275306799118,54.28361592745154,82.60727078366739
