State,median_score,mean_score,std_score,Winner_Frequency_Percent,Top_3_Frequency_Percent,robustness_score
Texas,0.8233832291513555,0.8048396733004219,0.11448292423532229,78.43,96.97,7.1921925007686935
Washington,0.6015440667393617,0.5942654808319244,0.16146090862667886,17.44,80.96,3.7256328597172654
California,0.37943688838516615,0.3765110395414149,0.10235072108076294,0.0,20.31,3.707222424801091
Illinois,0.426218367585134,0.4314098911072383,0.11536732251929341,0.0,8.709999999999999,3.694446211264507
Oregon,0.5622389719006171,0.5541961243355426,0.15378908266069408,0.0,46.54,3.6559095234418484
Virginia,0.5471272154345476,0.5467538191946517,0.1594084262171314,4.130000000000001,44.529999999999994,3.4322352238099483
Georgia,0.3865421756766575,0.39839689229138886,0.11860827326045764,0.0,0.44999999999999996,3.2589815621700424
Arizona,0.39901594855016054,0.4070539312688107,0.12778201855827992,0.0,0.53,3.12262987431345
Nevada,0.43845766473805653,0.4386818733882491,0.14293182274032537,0.0,0.21,3.0676000370794574
Pennsylvania,0.3501181550494134,0.3584259916815719,0.12315483398952037,0.0,0.15,2.8429103731259633
Ohio,0.3815867756510955,0.3892771754472022,0.1344822599102085,0.0,0.01,2.8374506489248055
Indiana,0.3695861903951549,0.3797701739549012,0.13707799437897716,0.0,0.0,2.6961744813202206
North Carolina,0.33143311499287265,0.34617941363578775,0.12788945007419797,0.0,0.0,2.5915594664030865
Utah,0.3676515825722528,0.37835449948535715,0.16747653548427105,0.0,0.63,2.1952423454972987
Tennessee,0.3048118288868893,0.32122629392456903,0.14385780177797985,0.0,0.0,2.118841141179918
